                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4284,                 5.1328,                 1.4076,                0.00477,                0.58542,                  0.043,                0.02918,                 1.0196,                 4.9484,                 1.2645,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 1.1732,                 4.6256,                 1.1933,                0.00882,                0.87292,                0.54346,                0.37948,                0.84026,                 4.4741,                 1.0153,             0.00018155,             0.00018155,             0.00018155
                      3,                 1.0815,                 3.3623,                 1.0696,                  0.012,                0.92188,                0.46818,                0.32768,                0.93331,                 4.3218,                  1.069,             0.00027778,             0.00027778,             0.00027778
                      4,                 0.9997,                 2.9791,                 1.0625,                0.01975,                 0.9375,                0.70534,                0.48636,                0.89946,                 4.2647,                 1.0294,             0.00037202,             0.00037202,             0.00037202
                      5,                 1.0602,                 2.8894,                 1.0695,                0.01095,                0.88646,                0.72032,                0.50532,                0.93942,                 4.3168,                 1.0218,             0.00046429,             0.00046429,             0.00046429
                      6,                 1.0121,                  2.549,                0.98816,                  0.014,                 0.8375,                0.60674,                0.40203,                0.98964,                  4.413,                 1.1038,             0.00055457,             0.00055457,             0.00055457
                      7,                 1.0521,                 2.6912,                 1.0285,                0.96224,                0.23174,                 0.5263,                0.33596,                 1.0924,                 4.4572,                 1.1669,             0.00064287,             0.00064287,             0.00064287
                      8,                0.99418,                 2.6182,                 1.0086,                      1,                 0.1308,                0.42151,                0.29138,                 1.0978,                  4.453,                 1.2182,             0.00072919,             0.00072919,             0.00072919
                      9,                 1.0607,                 2.2191,                  1.016,                0.97582,                0.36423,                0.62136,                0.40467,                 1.1118,                 3.9049,                 1.1789,             0.00081354,             0.00081354,             0.00081354
                     10,                0.96793,                 2.2112,                0.97569,                0.96245,                0.47112,                0.68114,                0.45846,                 1.0856,                 3.5271,                 1.1373,              0.0008959,              0.0008959,              0.0008959
                     11,                 1.0015,                 2.2404,                 1.0289,                0.86295,                0.45661,                0.73056,                 0.5051,                 1.1284,                 3.7246,                 1.1679,             0.00097628,             0.00097628,             0.00097628
                     12,                0.96301,                 1.9603,                0.98585,                0.96537,                0.29411,                0.60706,                0.40056,                 1.2028,                 4.0747,                 1.3136,              0.0010547,              0.0010547,              0.0010547
                     13,                0.98461,                 2.1208,                 1.0186,                      1,                 0.2101,                0.40721,                0.27747,                 1.2164,                 3.8956,                 1.3694,              0.0011311,              0.0011311,              0.0011311
                     14,                0.92518,                 1.8971,                0.96059,                0.65529,                0.38125,                0.49861,                0.31049,                 1.2443,                 3.4859,                 1.3426,              0.0012055,              0.0012055,              0.0012055
                     15,                0.94495,                  1.818,                0.99926,                0.72964,                 0.6624,                0.62647,                0.39484,                 1.2257,                 3.3017,                 1.3147,               0.001278,               0.001278,               0.001278
                     16,                 0.9757,                 1.8821,                 1.0091,                0.84275,                0.52786,                0.69791,                0.45002,                 1.2744,                 3.0445,                 1.3353,              0.0013485,              0.0013485,              0.0013485
                     17,                0.88706,                 1.8939,                 1.0096,                0.83758,                0.73304,                0.76706,                0.52083,                  1.215,                 2.8538,                 1.2649,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0367,                  1.971,                 1.0138,                0.85611,                0.66537,                0.77166,                0.52984,                 1.2009,                 2.7912,                 1.1679,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.0034,                 1.9682,                 1.0333,                0.88801,                0.69479,                0.79597,                0.52765,                 1.2453,                 2.5639,                 1.2134,              0.0013699,              0.0013699,              0.0013699
                     20,                0.98367,                  1.679,                 1.0084,                0.73313,                0.70455,                0.77893,                0.58206,                 1.0471,                 2.3024,                 1.0886,              0.0013534,              0.0013534,              0.0013534
                     21,                0.88734,                 1.6864,                 0.9801,                0.81331,                0.65938,                0.79035,                 0.5888,                 1.0194,                 2.3424,                 1.0808,              0.0013369,              0.0013369,              0.0013369
                     22,                0.89662,                 1.6576,                0.98253,                0.70749,                 0.5732,                0.75642,                0.54759,                  1.087,                 2.5536,                 1.1055,              0.0013204,              0.0013204,              0.0013204
                     23,                 0.8665,                 1.5922,                0.98882,                0.71586,                0.60833,                0.74216,                0.54495,                 1.0395,                 2.4591,                 1.0993,              0.0013039,              0.0013039,              0.0013039
                     24,                0.87381,                 1.4919,                0.96825,                0.93931,                0.54375,                0.76686,                0.53544,                 1.1238,                 2.3995,                 1.1186,              0.0012874,              0.0012874,              0.0012874
                     25,                0.90615,                 1.6851,                0.98578,                 0.8272,                0.65693,                0.76737,                0.53325,                 1.0992,                   2.44,                 1.1386,              0.0012709,              0.0012709,              0.0012709
                     26,                0.87257,                 1.4218,                0.96865,                0.75429,                0.68199,                0.72736,                0.49763,                 1.1335,                 2.5129,                 1.1845,              0.0012544,              0.0012544,              0.0012544
                     27,                0.80649,                  1.418,                0.94723,                0.73208,                0.60919,                0.71786,                0.50406,                 1.0935,                 2.4315,                 1.1394,              0.0012379,              0.0012379,              0.0012379
                     28,                0.86875,                 1.3823,                0.94352,                0.88089,                0.62604,                0.69878,                0.51147,                 1.1061,                 2.5082,                 1.1679,              0.0012214,              0.0012214,              0.0012214
                     29,                0.79701,                 1.3546,                 0.9498,                0.92203,                0.59798,                0.73855,                0.51102,                 1.1565,                 2.4567,                 1.1718,              0.0012049,              0.0012049,              0.0012049
                     30,                0.84345,                 1.3236,                0.95936,                0.92145,                0.69192,                0.79403,                0.59486,                 1.0639,                 2.2704,                 1.1676,              0.0011884,              0.0011884,              0.0011884
                     31,                0.79519,                 1.3343,                0.95471,                0.90472,                0.68854,                 0.8176,                0.62396,                0.97957,                 2.1553,                 1.0884,              0.0011719,              0.0011719,              0.0011719
                     32,                0.81971,                 1.2862,                0.96266,                0.86875,                0.59786,                0.77045,                0.55637,                 1.0407,                 2.2353,                 1.1174,              0.0011554,              0.0011554,              0.0011554
                     33,                0.78747,                 1.2387,                0.93488,                0.89181,                0.59667,                0.78333,                0.54898,                 1.0563,                 2.1592,                 1.1302,              0.0011389,              0.0011389,              0.0011389
                     34,                0.80572,                 1.1803,                0.94447,                0.84083,                0.68854,                0.78733,                0.58162,                 1.0286,                 1.9762,                  1.131,              0.0011224,              0.0011224,              0.0011224
                     35,                0.76256,                 1.1551,                0.93158,                0.79779,                0.73739,                0.88432,                0.59427,                0.98792,                 1.8896,                 1.1022,              0.0011059,              0.0011059,              0.0011059
                     36,                0.81672,                 1.1899,                0.94928,                0.79048,                0.82475,                0.87993,                0.63572,                 1.0466,                 1.7178,                 1.1246,              0.0010894,              0.0010894,              0.0010894
                     37,                0.73626,                 1.1527,                0.94152,                0.89957,                  0.862,                0.93574,                0.68864,                0.97646,                 1.5064,                 1.0649,              0.0010729,              0.0010729,              0.0010729
                     38,                0.78606,                 1.1644,                 0.9509,                0.90895,                0.78607,                0.90018,                0.65484,                 1.0118,                 1.5215,                 1.0787,              0.0010564,              0.0010564,              0.0010564
                     39,                0.74345,                 1.0515,                0.93931,                0.80358,                0.81973,                0.89909,                 0.6507,                 1.0186,                 1.4793,                 1.0951,              0.0010399,              0.0010399,              0.0010399
                     40,                0.74237,                 1.0553,                0.93429,                0.85256,                0.81026,                0.85257,                 0.5997,                 1.0391,                 1.6297,                 1.1093,              0.0010234,              0.0010234,              0.0010234
                     41,                0.74027,                 1.0583,                0.93321,                 0.8418,                0.75989,                0.85374,                0.61699,                 1.0177,                 1.6623,                 1.1002,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.7193,                 1.0031,                0.90034,                0.76163,                0.74592,                0.82749,                0.59232,                 1.0219,                 1.5949,                 1.1246,             0.00099036,             0.00099036,             0.00099036
